n_compared,mae_score,mae_category,rmse_category,mape_category,r2_category,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,qwk,spearman_category,cat1_precision,cat1_recall,cat1_f1,cat1_support,cat2_precision,cat2_recall,cat2_f1,cat2_support,cat3_precision,cat3_recall,cat3_f1,cat3_support,cat4_precision,cat4_recall,cat4_f1,cat4_support,cat5_precision,cat5_recall,cat5_f1,cat5_support,dataset
39,8.282051282051283,0.6153846153846154,1.0127393670836666,59.61538461538461,0.6861167002012072,0.5641025641025641,0.4166666666666667,0.5961538461538461,0.5992638601334254,0.9294871794871795,0.5641025641025641,0.6645236279103557,0.8337241526327009,0.8339050554182872,1.0,0.38461538461538464,0.5555555555555556,26,0.0,,,0,0.16666666666666666,1.0,0.2857142857142857,1,0.0,0.0,,1,0.9166666666666666,1.0,0.9565217391304348,11,Law_School_Admissions_Bar_Passage
14,12.857142857142858,0.5714285714285714,0.8451542547285166,30.0,0.7058823529411764,0.5,0.54,0.5333333333333333,0.5404761904761906,0.6928571428571428,0.5,0.5896825396825397,0.84375,0.8390598506135735,0.5,0.6666666666666666,0.5714285714285715,3,1.0,0.25,0.4,4,0.2,1.0,0.33333333333333337,1,0.0,0.0,,2,1.0,0.75,0.8571428571428571,4,Loan_Approval_Classification_Dataset_
13,10.76923076923077,0.38461538461538464,0.7337993857053428,13.461538461538462,0.7208588957055215,0.6923076923076923,0.6599999999999999,0.6,0.7222222222222222,0.7846153846153846,0.6923076923076923,0.7407407407407408,0.8896969696969697,0.9378611469185193,0.5,1.0,0.6666666666666666,2,0.0,0.0,,1,1.0,0.5,0.6666666666666666,4,1.0,0.5,0.6666666666666666,2,0.8,1.0,0.888888888888889,4,Loan_Eligibility_Prediction_DataSet
22,9.318181818181818,0.2727272727272727,0.7385489458759964,18.181818181818183,0.8019504876219055,0.8181818181818182,0.6726190476190477,0.6785714285714286,0.8974358974358974,0.817099567099567,0.8181818181818182,0.896153846153846,0.9000757002271007,0.8955637707948244,0.8333333333333334,0.7142857142857143,0.7692307692307692,7,0.0,0.0,,2,,,,0,1.0,1.0,1.0,7,0.8571428571428571,1.0,0.923076923076923,6,Loan_Prediction_Dataset_2025__
13,5.384615384615385,0.07692307692307693,0.2773500981126146,3.8461538461538463,0.9719827586206896,0.9230769230769231,0.95,0.9333333333333332,0.9314285714285713,0.9423076923076923,0.9230769230769231,0.9208791208791209,0.9866117404737385,0.9775883045428138,0.75,1.0,0.8571428571428571,3,1.0,0.6666666666666666,0.8,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,5,Loan_Status_Prediction__
4,3.75,0.25,0.5,25.0,0.9375,0.75,0.6666666666666666,0.75,0.8333333333333333,1.0,0.75,0.8333333333333333,0.9655172413793104,0.9428090415820635,1.0,0.5,0.6666666666666666,2,0.0,,,0,,,,0,,,,0,1.0,1.0,1.0,2,"Male_homicide_rate,_2021_"
27,17.22222222222222,0.6296296296296297,1.1706281947614154,43.51851851851852,0.45109890109890105,0.6666666666666666,0.42857142857142855,0.575,0.7037037037037037,0.7513227513227513,0.6666666666666666,0.8535353535353536,0.7522935779816513,0.8699733966546009,1.0,0.8,0.888888888888889,15,0.0,0.0,,5,0.0,,,0,0.14285714285714285,0.5,0.22222222222222224,2,1.0,1.0,1.0,5,Marijuana_Arrests_in_Columbia__
14,6.428571428571429,0.21428571428571427,0.4629100498862757,16.071428571428573,0.9174852652259332,0.7857142857142857,0.6666666666666666,0.5833333333333333,0.7666666666666666,0.9487179487179487,0.7857142857142857,0.8538461538461538,0.953229398663697,0.9918032786885246,1.0,0.3333333333333333,0.5,3,0.0,,,0,0.6666666666666666,1.0,0.8,2,,0.0,,1,1.0,1.0,1.0,8,Mental_Health_
17,31.764705882352942,1.2941176470588236,1.7149858514250884,98.92156862745098,-0.06516290726817053,0.29411764705882354,0.23809523809523805,0.2833333333333333,0.43333333333333335,0.29870129870129863,0.29411764705882354,0.49166666666666664,0.3421052631578947,0.5165171661478842,,0.0,,6,,,,0,0.14285714285714285,0.3333333333333333,0.2,3,0.0,0.0,,3,0.5714285714285714,0.8,0.6666666666666666,5,Mental_Health_Dataset_
12,25.833333333333332,1.0833333333333333,1.6072751268321592,101.66666666666666,0.16027088036117376,0.5,0.6799999999999999,0.7083333333333334,0.6642857142857144,0.9,0.5,0.5214285714285715,0.4999999999999999,0.6748516330728256,1.0,0.16666666666666666,0.2857142857142857,6,1.0,1.0,1.0,1,0.0,,,0,0.4,1.0,0.5714285714285715,2,1.0,0.6666666666666666,0.8,3,Original_Dataset_for_Loan_Approval_Prediction__
